gene_id	logFC	logCPM	LR	PValue	FDR
FGFR1OP2	2.16941793567329	7.04663364543655	29.6036726027498	5.30044153978141e-08	4.80370817172317e-07
SMAP2	2.17023092421389	6.37590123095895	32.7720019725684	1.03626704349096e-08	1.03887948141573e-07
DEF6	2.17437683028387	5.80985642418618	6.29893530034511	0.0120810511711386	0.0310504233397869
RFFL	2.17575063330546	6.35924737794406	30.9691497643359	2.62162572799546e-08	2.49663239684212e-07
NCOA7	2.1762469482406	7.953610139968	27.8615310405552	1.3031510218517e-07	1.10188472034536e-06
TLR6	2.17756699780829	4.0339960584719	25.3045485505568	4.89552942083193e-07	3.74382474298237e-06
TDRD7	2.18105749919203	5.98440746946387	32.8660347957958	9.87333123872705e-09	9.93100947366823e-08
LOC101098354	2.18177249780345	3.51887659933317	17.1243248441734	3.50110189299474e-05	0.000183526739153887
CSNK1G3	2.1819414673778	6.17148059887948	39.1452685712057	3.93415508314898e-10	4.97378777997727e-09
LOC101091745	2.18248176436797	5.90961816678308	28.6492605325545	8.67471113545626e-08	7.60641787696505e-07
N4BP2	2.18265034670844	6.82953522316364	29.9538779554527	4.42446122396724e-08	4.05745664864585e-07
ANGPTL1	2.18723827197007	3.14917674785002	5.5178774654201	0.0188230839861499	0.044928215924017
ZCCHC11	2.18750370272537	6.37725006279598	28.4392744165073	9.66839087849814e-08	8.36928057378174e-07
HIPK2	2.18892030573564	7.1463837519527	16.7571293075896	4.24823407162327e-05	0.000218197948030968
ZNF624	2.19266200630816	5.85499633748635	34.3569575079757	4.58757448632932e-09	4.90197563237696e-08
SLX4	2.19314884632969	5.85536070595793	24.0137317726698	9.56510878114733e-07	6.97349569638869e-06
ZNF318	2.19408550046075	7.54908506614139	26.6522173634831	2.43571102081423e-07	1.95497466214955e-06
ZFP36	2.19631658768139	4.40991425869166	17.4002820857111	3.02781035499675e-05	0.000160736065083424
DAZAP2	2.19688948312339	7.13137053315596	30.1343215100379	4.0313313387257e-08	3.73609895184303e-07
PRAM1	2.1987341342242	3.31957995158057	7.01348193343683	0.00808981956729128	0.0221310615346182
STAT1	2.20321604512032	9.80382942394043	21.039768322162	4.49848625271936e-06	2.84362404115781e-05
ZNF567	2.20350285953436	4.41301503292398	32.6744530010012	1.08959954209295e-08	1.08818986232008e-07
CDC42BPG	2.20952209526555	4.50190090352477	17.588307364865	2.74269537872556e-05	0.000147147961794831
PGM2L1	2.21078199005965	6.77807468046146	36.9791179378408	1.19401182534926e-09	1.40026963217679e-08
PRKAR2B	2.2128316265043	6.73768848369873	27.8713566677723	1.29655003837778e-07	1.0970100679324e-06
ST3GAL1	2.21310016560012	6.97324891178027	31.0421284440398	2.5248820796059e-08	2.40974745677587e-07
DUSP1	2.21469310812156	8.55962043995344	15.4163467540465	8.62390468106164e-05	0.000412132196393197
DEDD2	2.21704490566274	5.27267136076182	34.7003727760327	3.84557940991735e-09	4.16039065097654e-08
NFKBIE	2.21929408784117	5.68634458965691	38.3653799885215	5.86639219841091e-10	7.2286070253283e-09
ZNF175	2.21998031055753	5.88289217797799	43.8690964428235	3.51088821513186e-11	5.09098188366578e-10
SLC10A1	2.22068392474671	2.0596510202926	5.50768444774637	0.0189330967275499	0.0450923826416764
CCSAP	2.22349661976337	5.6232218503196	34.1223144496475	5.17543589570096e-09	5.50382862717047e-08
DNAL1	2.22412907647178	7.4743677941433	20.6166213470128	5.61068779875217e-06	3.48292601622634e-05
MADD	2.22444077444077	6.41719598930775	6.62786571584794	0.0100395487042954	0.026594468640789
INPP5F	2.22644756889638	7.65955925101083	26.756822375542	2.3073566158112e-07	1.85991651531267e-06
RNF11	2.2272212391808	9.87309211312738	12.4383607865762	0.00042060477433617	0.00170410511071737
CNP	2.22856242150103	6.40960063596255	35.5695620289042	2.46103125423066e-09	2.75564105369189e-08
LOC101086076	2.22886369307629	4.84059740295451	37.5319775873085	8.99265043752041e-10	1.07379937844932e-08
DUSP6	2.23204379881722	6.15458390535299	21.9074022973831	2.86128089558053e-06	1.88591608200418e-05
UNC93B1	2.23472088294078	6.31046108840066	33.5727362595188	6.86482267198529e-09	7.09905972612001e-08
GUCY1B1	2.23663220576131	5.57139402656656	12.5911706517202	0.000387573313191264	0.00158446248878784
KMT2E	2.23864894227421	7.36045016088629	19.1144318580814	1.23110438455459e-05	7.12336103990733e-05
CMPK2	2.24366515961603	6.33253854960576	22.7120995889967	1.88179217960785e-06	1.28685559004657e-05
JARID2	2.24530052365907	6.67763795465539	24.8626241455128	6.15645488905284e-07	4.63783912221817e-06
CSRNP1	2.24582799001969	6.14335050557378	31.683978318019	1.81412645811207e-08	1.76346529702257e-07
GPCPD1	2.24703717932531	7.82270537318286	23.8376632899424	1.04811454646049e-06	7.54079341732514e-06
LOC101100838	2.24749931164497	5.79452873337326	15.5843635918134	7.89044126017196e-05	0.000380500319293067
JADE2	2.24948462654478	7.08040428327748	23.6069979639802	1.18157030121135e-06	8.39509857216922e-06
PPP2R5A	2.2517355330888	7.29724312423951	30.8320330044474	2.81354998672455e-08	2.67165097509307e-07
NIPSNAP1	2.25562019780477	4.3950398774791	8.66568311870764	0.00324258424061323	0.0102338703678613
LOC101091785	2.25582171980929	7.84219020208949	20.5212919395095	5.89716102809771e-06	3.6435237368986e-05
APBB1IP	2.25949810937945	4.79100103485772	11.5705976038911	0.000670028809778663	0.00258004344798281
NFKBID	2.26118382503916	4.42653230172595	13.8928558902404	0.000193532704612325	0.000852544371476182
ARHGEF3	2.26319303441309	5.62890158313273	9.04295281614686	0.0026370935869199	0.00854905611194415
REC8	2.26711040159369	4.72847604464652	20.0635522187295	7.49107899734019e-06	4.52186889062076e-05
TRIB1	2.26779939612794	5.7940990982608	44.1913217669885	2.97798590800887e-11	4.38117814695071e-10
CCNY	2.26822504125766	8.96138478975644	20.295389450511	6.63603008873349e-06	4.05421894108239e-05
PARD6B	2.2697095063346	2.60106382264003	7.4925237657661	0.00619556651132985	0.0177288310789755
PQLC1	2.27554024348227	6.30639846580952	38.1884694938654	6.42308525884573e-10	7.85555897966752e-09
LOC101086971	2.27715813765862	4.82499646790857	27.019872882687	2.01374433551905e-07	1.64547739196865e-06
RSBN1L	2.27775237161351	7.17693844871945	32.8655555190288	9.87576572669134e-09	9.93100947366823e-08
SP4	2.28080516970398	5.92594556722122	42.1650735592139	8.38848682031504e-11	1.1360383131372e-09
FBXW7	2.28208721571604	6.27887442942991	42.3706136901585	7.5516197282578e-11	1.03014454983292e-09
USP44	2.28327338890705	3.59475650056631	14.3570650305734	0.000151211215328239	0.000684965405161365
CCS	2.28390302146548	5.45052688218996	43.2632056080458	4.78497374054942e-11	6.75195810722904e-10
WIPF1	2.28440464162672	8.99396600130593	28.6487529772453	8.67698511149637e-08	7.60641787696505e-07
PDCD4	2.28595575932225	7.36332642345491	24.3156337333671	8.17726767497866e-07	6.028667623525e-06
FGFR1OP	2.28610149102675	5.10197123302664	46.4861061245217	9.22703840961745e-12	1.45887259095674e-10
LRRC56	2.28659678339781	2.71249099516182	6.45638099784131	0.0110554584046418	0.0288545705338333
NLK	2.28865836807566	5.93768666796374	39.6344358369102	3.06235578843461e-10	3.92837683398117e-09
GPX1	2.28959851417765	9.64648153501788	17.6413562369988	2.66724713330057e-05	0.000143393216428936
FBXO31	2.29043358025381	7.62227103582194	23.9998863704621	9.6341386444036e-07	7.01602671645441e-06
HP	2.29059519254934	4.12746820615586	7.9491554994448	0.00481098209974848	0.0142741392934658
LPXN	2.29150133771837	4.0017906772832	9.07822050682585	0.00258671631920583	0.00839818858410147
