genes	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	X2654MINUS	X2654PLUS
LAMA3	4.5133644356793585	5.816761985314238	5.769667055473003	3.838292764058926	3.7595318234346284	6.293418745216239	6.222542315169476
TTC39C	2.5758300895697297	3.440081899043468	3.510965779647865	2.586842618606986	2.714206590158651	3.810368685506294	3.7208970832432207
OSBPL1A	6.250396836615696	6.493583183687859	6.399799803732479	6.21319500318823	6.379714596256635	6.166883633448111	6.163015075038792
IMPACT	5.9854317818134035	5.827517006687537	5.792407979152815	5.753883904185369	5.828796571147701	5.414385851987418	5.652010060267969
ZNF521	5.670221149362197	5.647212765569546	5.6528716766265825	5.529077213742586	5.503842635858209	4.542050738568438	4.426984974162785
SS18	6.943430004183591	6.686376841196184	6.582580900296367	6.830543951771537	6.793579459926995	6.501698180410339	6.465237010533085
TAF4B	2.674707687224404	2.746835061768938	2.734570138389851	2.5334432322869906	2.595789244607266	2.3701358733686497	2.8376910607918187
KCTD1	2.837218742488487	2.9890297755220314	3.0043558289172383	2.6128189584522543	3.030541005862336	3.711132556852646	3.5089760786384776
CDH2	8.360893446881953	8.601169807904448	8.564496598845558	8.238553825154517	8.244906756599804	9.428549813037769	9.415205755935418
LOC109493383	0.13510053757016852	0.20504888690959772	0.7114647014218651	0.5812645653340762	-0.24262954200551418	1.413391940983634	1.7447397565341225
DSC3	5.098358749534019	5.2318307327991	5.1305566274409875	2.103584257272799	1.8833856408292227	4.50549707315018	4.346411124454442
DSC2	1.390009146204466	0.7566172175583261	0.6707010029997792	-2.16678441204092	-2.2299911994466033	-0.8227761426229796	-1.814980707179356
DSC1	0.34181603351142226	2.888032040614785	2.954284465529155	-1.948469798896851	-2.6831449238362204	0.9739434340382266	0.8427243691226417
DSG3	-1.9870079653202746	3.284145400003412	3.3132760018004883	-2.7375646730002026	-3.8465567019397158	-4.61583311242201	-1.3899522264640403
DSG2	5.135286926397757	7.120878189643913	7.073218440286262	2.9345394814860892	3.004953342468789	5.327009238040839	5.454735609520506
TTR	0.6051370545973791	2.9394145373059026	2.893583033558245	-1.5913547886283408	-1.3750644352334158	1.9370936537122634	1.6131712944096213
B4GALT6	4.263079246777658	4.317643531474998	3.988297287587182	0.3537227540782837	0.38390751160955294	3.2975918498579895	3.1697276239296426
TRAPPC8	6.714492067044634	6.748402446371581	6.643097212175715	6.474563334108106	6.515025456737989	6.577613734386679	6.4794755149335455
RNF125	3.0288342706799862	3.4703426001661284	3.352465395155328	2.4398023850167507	2.7880746503649907	3.412608681183418	3.6386973934050113
RNF138	5.164503957468037	4.891407499572984	4.730405832538994	4.416977268946821	4.607298006538729	5.032933240346089	5.040145249418171
GAREM1	4.18471727301184	4.935459109980398	4.858435755011439	4.315179329185973	4.203788505699064	5.4893030101254325	5.497340869931064
DTNA	2.665119362604037	4.053534428029679	4.0251451357154435	5.510773314698396	5.5129481771767175	2.9512996415976507	3.6216801174812905
LOC109493403	-2.2517715097222344	-2.1047066930730205	-1.1476504369611014	0.22490539198528678	0.5629108305535439	-1.8681414191080283	-1.5868706841889213
MAPRE2	3.043710286309984	3.7991778612939995	3.674530067493557	3.3949926477552244	3.6937896915566846	4.206249786356126	3.778333111063971
ZNF397	4.593900955512777	4.650590403472933	4.638270305256048	4.679142806399716	4.7263783405968836	4.141021539182105	4.216428017708991
LOC101093719	3.425126056951192	3.2496657724808147	3.2385413443240236	3.448863528663396	3.6046081405858077	3.489488725773038	3.366427916243652
LOC109493407	1.020532742886889	1.600042297729426	1.3243702334260876	1.0039918508159993	1.4396785808514083	1.591363012181489	1.3901578060819728
LOC109493406	5.564592542157577	5.872588001352613	5.734251049764502	5.313700682391124	5.293792505982098	5.926768926601881	5.994784545447914
ZNF24	6.890925203627399	7.033640466859751	6.945014545232874	6.9164834551088035	6.917726682090477	6.513711469570308	6.491234522578281
INO80C	2.626115816033139	1.1792984550348156	1.2708258613296841	1.450606505502722	1.4243174806133787	1.3814724228353192	0.9189990892160795
GALNT1	7.2451919388088095	7.510347994470071	7.4172726864380705	7.132772043045532	7.144108824589006	6.754691289973377	6.876127346048561
