gene_id	4438	4460	4474	4501	4510	4520	DC1MINUS	DC1PLUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	X2654MINUS	X2654PLUS
SHOX2	-1.628792083715887	-1.694979497360812	-1.2544770812977522	-1.6093535539949684	0.43490075444981974	-0.38413587586093906	4.746317651555404	4.722688606557992	4.938127432388196	4.987088848183487	5.259493910488717	5.232329954091557	6.128956609493357	6.203444185937212
PTX3	-4.386261900306119	-3.452831174823122	-4.386261900306119	-1.955878893154043	0.08683863760880307	-2.6588544078693572	1.2628159638903431	1.3472669862607678	0.955943438813044	1.296736709394164	0.40535828120793577	0.1746198570490177	0.47921173006022977	0.6618241098243729
LOC102901603	4.150646770352331	4.483281427982311	4.642004190630066	4.447053648997119	4.406099379295319	4.6612360647076505	2.4925252127375424	2.3683638007405468	2.3001378351906623	1.790954030165731	2.0964479672991643	2.277405882444163	-0.4093700813073141	0.454659495790835
CCNL1	7.826635125192364	7.968755583490116	7.934932044869685	7.610036112616676	7.170598187359452	7.975015688392765	5.312956593479477	5.165866645955063	4.889841125898329	4.900047264764972	5.14541817544237	5.1559196725241385	4.708061942371125	4.844117150360084
LEKR1	0.2501612995520577	0.3402826899887235	0.8977759539060846	1.4735771584592774	1.9316551110194058	0.13463570016245333	0.9888555689377146	0.6807762551973595	0.6812127997497593	0.9670727486256829	1.001881991257128	0.8702968182871347	0.6656572054971334	1.4848653438780224
TIPARP	7.011670763425184	7.407043615904882	6.9970975631443055	6.312461414650912	6.144729925875536	6.861968825228485	7.398993154167045	7.3632729786639	7.42848120377188	7.439535366517814	7.408671094733971	7.422777066124758	7.591002122135809	7.686195216122733
SSR3	5.09488434073318	5.22741419026631	5.152643886627368	4.995004269718314	4.633651534057821	4.906907099235909	6.690657478318279	6.725757079588893	6.43870481041907	6.395042144840545	6.870563859050354	6.901027023422717	6.349129925025064	6.564424356400345
KCNAB1	1.066732697334404	-0.3447730395523221	0.4950283522406312	2.1559600541111794	1.485790057671468	0.2730282257516221	-0.6274887270185495	-0.595735015832723	-0.8563185788845865	-1.5189796173546544	1.3567762661516496	0.6830330060676175	-1.010017678718875	-0.16115482470672182
GMPS	5.459957751266945	5.536857159123346	5.5186832898619285	5.69971989094726	5.49067675656077	5.53818753504703	4.32634487422505	4.13119119696605	4.43128185420708	4.271953678221924	4.53519237336891	4.874112045853069	4.401746357866431	4.381263965175681
SLC33A1	4.33639514211203	4.588772930490956	4.625218970291401	3.9091827915999966	4.135810203549094	4.566837424034463	6.134085900262007	6.132449717098629	6.165444075742176	6.114864081395591	6.21664468644792	6.214836250904593	6.2590233042773775	6.258317565858926
CC2H3orf33	1.3601043848756091	1.7271866906674	1.7075155390322898	1.0546968231526277	0.9496266066173358	0.4585188764901747	2.670261645332386	2.967857098687387	3.1569354069426097	3.1342380969429025	2.771832459652389	2.8733498070668837	2.8406141927592383	2.458669678627199
MME	-2.9822786094513347	-2.4873042809955748	-1.9764656802796072	-1.6093535539949684	0.7150984869745398	-1.625337120903037	4.7388623215649295	4.850980647541785	5.052213253607014	4.9779281633090005	6.796387201724633	6.84627670127777	3.7695231504991304	4.103433295596514
