genes	4438	4460	4474	4501	4510	4520	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	X2654MINUS	X2654PLUS
IGSF9B	-1.2553269661707764	-1.1313381700423397	-1.5532769632000665	-2.203505394933852	2.1489288797498602	-0.8169749323472267	-1.2878086445766197	-0.6023679880690009	-0.04336404358508252	0.017175736146732724	0.27489298561333214	0.4935340533120757	0.23699058249666957
JAM3	6.811421631321888	6.6161013144136	6.705778225737235	6.717764760357664	7.28829461549826	7.263966725492787	7.696013465294123	7.727741981857059	7.711417856556517	7.689701551490983	7.6789679453962965	8.077715700877375	8.058374226709946
NCAPD3	4.847226394295085	4.908920933945903	4.800305390015404	4.562179625478694	4.4691206876074085	4.792664998227186	3.808279299882695	3.337056510327471	3.2972291857687206	3.6888148149942963	4.008893363852628	4.013814003155253	3.858942483702928
VPS26B	5.221241007255648	5.278786056312938	5.228404408421794	4.602311918682052	4.589608638617458	5.005033810171945	6.111129303326292	6.097794322394754	6.237104974444142	6.203566191031507	6.229681210294001	6.303113430177153	6.271809398247877
THYN1	4.556743412588862	4.851751954752107	4.834948900945737	3.88697312096043	4.446090142790307	4.705997138374701	4.374437861302761	4.614622610374864	4.713849713784546	4.3771010908650645	4.409742396750358	4.6317905767117065	4.521667030912381
ACAD8	4.284134715801531	4.713486402577634	4.207865543915378	3.443515159692637	3.815659539113125	4.232357738378097	5.196710917541901	4.983415717570432	4.980409367642185	4.856554799223759	4.885280597925484	4.90566389660021	5.036254542876741
PGR	-1.4233313375334593	-2.7177858519028066	-1.7741585069312351	-2.901731001799928	2.3607854634111902	-3.1183838281631453	6.032196280701269	6.871108962457672	6.869418690654723	4.379768730708629	4.448562254573778	5.133214770647598	5.108790783175106
ARHGAP42	-1.2553269661707764	-2.3021912305112315	-1.361766082741578	-0.4801559447518296	1.5142860319628721	-3.1183838281631453	5.325016165511251	5.5000698330183155	5.414654499704958	5.573609166727722	5.621557582719335	4.531438800933146	4.717133180643929
CCDC82	5.075181145417702	4.699465806150108	4.528248864426326	4.743585649542217	4.681214527241548	4.705997138374701	3.0310858092589084	3.3137157524705447	3.123785707926281	2.9383434698564175	3.1683264376673685	2.454181161966972	2.6799728798699802
MAML2	7.051692735970985	6.615354769250387	6.695042062148535	7.451710107813664	7.1877513215180695	6.595250003515895	5.429376254173615	5.960824126782075	6.006671837270486	5.316693052651831	5.360605818203174	5.831293120483398	5.844911366841812
