genes	DC1MINUS	DC2MINUES	DC4MINUS	X2654MINUS
FIG4	4.9135076479298885	5.301475857658349	5.577765811231564	5.025521242444906
CDC40	5.159944549256957	5.165244920470761	5.07313771908446	4.5351555141170445
CDK19	5.336100891067699	5.215070436389047	5.548870100490892	4.915569126051414
AMD1	6.2507071824500375	6.186511691892006	6.242227825114214	6.76813463590833
GTF3C6	3.6864013048269957	3.110966540188041	4.00956766250204	3.1730982020132066
RPF2	4.272934710190469	3.867934608891193	4.172893084450407	3.903610721067279
SLC16A10	-1.2438989541025465	-0.7001848202567733	0.08717237326755671	-2.2027187245550484
MFSD4B	2.0776224396940184	2.567228000939877	1.8234612699959687	1.4762369267463957
REV3L	6.041054264808415	6.667366618025452	5.824912050965844	6.244624972539877
TRAF3IP2	3.6431896885671957	4.5071054727916815	3.411761824802269	4.337176841424439
LOC109499841	-0.865491602250421	0.6514495243460922	-0.5959824224494011	0.4058164753543726
FYN	7.496780073700993	7.095884888285745	7.222600481302728	6.060310253575142
WISP3	-1.3958518454863769	2.7004057814900944	-1.298290350707239	-1.1506922190568052
TUBE1	2.791300617208039	3.273707517022324	2.1537915690619167	2.1230681207757556
LAMA4	8.330432462224332	8.332459311828128	8.504391725038465	8.034824119604943
MARCKS	7.55978118101553	6.9979345730899976	7.840933831784582	6.598858250202748
HDAC2	6.916026415908708	6.72165152605524	6.922078675731619	6.830797289049851
HS3ST5	1.4110727164935424	-0.6132918024447097	1.333051037255348	1.5923503444180385
NT5DC1	3.279230755422631	2.6747356128481647	2.880505985480754	2.9409232360514648
TSPYL4	4.791279948188324	5.357677187239015	5.395015111109387	4.653496520751586
LOC102901284	0.8600909135325941	0.29496449145431924	-0.24515241766547013	-0.4307314788726614
TSPYL1	5.684023182471348	5.685747389126797	6.007537430887592	5.530202323930805
DSE	6.978686999229952	6.987111954984128	7.278843442058772	6.553018911203167
CALHM5	5.479484991157974	6.165161855927109	4.502282529328228	5.928432592687013
RWDD1	6.363721433034778	5.98802771840735	6.271774506184948	5.91873354554766
LOC101090867	1.2666903584416396	0.9655785363046999	0.35709651774441736	1.0982663227907588
ZUFSP	3.9454860902292834	4.018385791612937	3.94620275590366	3.5911016145007237
DCBLD1	3.8217518306941565	3.533786210717814	3.74924692866466	3.5341624983226656
GOPC	5.818508184384017	5.880785658262988	5.808127255934286	6.02199708562961
LOC101093938	-2.9798106716582162	-2.671418273567493	0.8406183958804961	-4.56176633144625
NUS1	5.3025484424800275	5.268962506900758	5.337690158250288	5.280474133057965
CEP85L	4.269781298745095	4.380496084686695	4.691107368204433	3.209920943891169
PLN	4.12372996874329	3.786384558147202	2.1057622899092863	-2.653513013223081
MCM9	2.9094798760326035	2.934733461351029	3.2880982663042375	2.418787345279596
ASF1A	3.011173544916886	3.2036339689373667	3.2388477222522476	3.1448509471288784
FAM184A	-4.56176633144625	-3.63393394852685	0.27261137709414834	-1.3506557696413646
MAN1A1	4.288599198785414	4.375193106961498	5.432004184025143	4.756653081128205
TBC1D32	3.9255867047718143	3.741754221039159	4.423656680715615	3.8404319088702716
GJA1	8.841387566794834	9.017391271481927	7.899330849396728	8.484421465758825
HSF2	3.340630481315157	3.0916967598218026	3.3968712725938373	3.163743767965252
SERINC1	9.137949276356977	8.996173380036366	8.786970573327672	9.085285469861283
LOC102899662	0.18877594182489058	0.1534480389063789	-3.117847966008132	-0.5487962883423807
PKIB	1.737559012008189	2.346552395490204	-0.5186589868968674	2.524886317774162
LOC111560518	0.18877594182489058	0.3392113653586739	-2.410824744352663	-0.32160202683356687
SMPDL3A	5.751137209660373	5.886387972376599	5.18281981004188	7.044644240523985
NKAIN2	-2.9798106716582162	-4.56176633144625	1.9376102183497506	-4.56176633144625
