gene_id	logFC	logCPM	LR	PValue	FDR
LOC102899605	5.81348837728266	-0.5506637234152	36.2199921246878	1.7625313301792e-09	4.82079243844928e-09
LOC109497105	5.81997865758415	6.80264149025151	118.024834090126	1.71230630938221e-27	1.33752946274537e-26
LOC109498950	5.82079287395036	2.70147005251273	146.282024529758	1.12638478310349e-33	1.10523038908584e-32
CCR4	5.82083366087838	1.87923774667286	106.57829867081	5.50729975471025e-25	3.92305863170799e-24
ETV7	5.82679505032299	0.173222500654991	36.743943735688	1.34708448982375e-09	3.72282194681607e-09
KLF2	5.83334377772862	6.86664683807969	327.345703407291	3.6383432964452e-73	1.02072183853617e-71
LOC102901924	5.83665770716369	-0.518144890654601	38.7446619240195	4.83029387866082e-10	1.38536236422715e-09
LOC109500598	5.84185041908949	-0.451569623057949	43.3283320317358	4.62833184543065e-11	1.44301443860179e-10
CCDC180	5.84210591048263	0.017006170038802	25.5834116667454	4.2366596902321e-07	9.43156917628507e-07
LOC102901193	5.84344286690808	2.90933400417347	201.917360783271	7.96949102374679e-46	1.15239418750821e-44
GFRA3	5.85141251023846	0.202822719577574	60.3802005696843	7.81955691467608e-15	3.21975812494479e-14
SLC16A11	5.85707010687276	3.76651185860499	269.279841842605	1.62879094348951e-60	3.39278218098109e-59
LOC109502653	5.85755404029923	0.178647002184229	29.0629754969345	7.00632571217383e-08	1.67435213292577e-07
NIPAL1	5.86334898891323	-0.465177751981331	33.147759449145	8.5414740411602e-09	2.20683694289424e-08
WSCD1	5.88197987882552	4.57303154404452	122.019561990814	2.28573047034049e-28	1.85359364096059e-27
PDE4C	5.89059971249756	3.90045256237245	186.405039861987	1.93674185475108e-42	2.51934542493539e-41
FAM222A	5.898629799903	2.50854267157422	122.621809220341	1.68731579105205e-28	1.37601725334772e-27
LOC111556245	5.89919716728503	2.3994129661465	55.5054414447435	9.32006673689191e-14	3.57265507844796e-13
NTN5	5.90130915002443	1.2698380181671	50.9844300474204	9.31015425183899e-13	3.30933098378439e-12
TIE1	5.90170429814352	1.90570651593245	73.4215309470178	1.0471754166728e-17	5.12492022871041e-17
LOC102900696	5.90263044001242	-0.362271887370299	45.6462616095004	1.41656169452892e-11	4.5935919011637e-11
GAB3	5.90277301071631	2.95039831828529	149.441024176459	2.2968890471478e-34	2.31651436495571e-33
LOC111559473	5.90419397599495	1.53015794016465	27.2329789242033	1.80355900103245e-07	4.15253759304322e-07
FAM169B	5.90972474392921	3.25552276492107	143.915828889257	3.70675274377622e-33	3.57982454376207e-32
TLDC2	5.91150349524733	0.647006448597054	59.1639064769584	1.45070491897539e-14	5.87769714820058e-14
LOC109502085	5.91368763843701	0.779197228352906	61.8089299356073	3.78454131890648e-15	1.5874352702494e-14
LOC101088338	5.91495866468096	0.259962348060865	47.1797504354446	6.47661036756158e-12	2.16045187789604e-11
LOC111557311	5.916808388901	0.233655652030336	54.8506298879606	1.30047078561715e-13	4.92115933716678e-13
TRIM50	5.91688750033248	0.246897644910621	55.3789521934388	9.93950561612154e-14	3.79549537485973e-13
MGAM	5.92300318774106	1.32855688831605	65.6894583979081	5.27874605630594e-16	2.33787710970637e-15
LOC109501354	5.92491284002408	2.78961920148333	138.879206582287	4.68071463197611e-32	4.32389493684286e-31
LOC109500756	5.92538734897806	-0.373416833132395	41.5382979806271	1.15584275970496e-10	3.48568402269085e-10
RPS6KA5	5.93418547161546	4.62302737900896	298.146382390844	8.34865129396255e-67	1.97675718230748e-65
TNFRSF1B	5.93879167398454	6.22199280303872	142.123574124178	9.13821196467189e-33	8.71960524892495e-32
LOC101097936	5.93974053125004	1.76260886906966	36.6992696407414	1.37831067682207e-09	3.8045003698527e-09
UNC13D	5.94128787636469	6.81867476379774	421.567445989636	1.11243490072558e-93	4.86995883051157e-92
LOC111560876	5.94306749402245	-0.352047462385369	40.6129947070738	1.85568464141176e-10	5.50658002996208e-10
LOC111556580	5.96173078107728	1.08827382677496	76.9990822520978	1.7103741929616e-18	8.76078841685734e-18
PTPRE	5.96190413611451	6.23027829045133	64.1705502870736	1.14101616072488e-15	4.96778484184453e-15
OMP	5.97391105229662	1.14099121227584	69.762566545041	6.6890341545964e-17	3.12488300362045e-16
TLR10	5.97606225391311	4.89225356624025	297.672645307586	1.05883929642335e-66	2.49594736516363e-65
OASL	5.97842960848688	4.32490189830053	59.2675743172974	1.37625723563633e-14	5.58458340969313e-14
KLHDC8A	5.97877901219626	3.07628328634467	116.584339899951	3.54000394075254e-27	2.73171732667756e-26
LOC101089989	5.97957582788741	2.04156349235908	104.83722887451	1.32592562868761e-24	9.29547949544085e-24
TMEM140	5.98670566556393	9.07658718854359	108.634671436145	1.95131320579557e-25	1.41678237291716e-24
LOC109498301	5.9892122314934	1.10949535479007	83.6757770626409	5.8295158455679e-20	3.22994906116566e-19
CD300LF	5.99053075711062	4.37162660354249	108.388497376922	2.20936232325506e-25	1.59955423085276e-24
SNCA	5.99053216313258	4.39348926530021	26.8305363389988	2.22099979957785e-07	5.06753032735867e-07
HOPX	5.99084173521283	5.47611437022551	154.76586418947	1.5752876888918e-35	1.66019902926527e-34
LOC109500880	5.99869090296363	0.852047155266972	56.6071557315642	5.32178290609235e-14	2.07696817557143e-13
LOC111557514	6.00112535906656	-0.285972851991471	49.9081282323705	1.61115840243369e-12	5.62036102074889e-12
DOK3	6.00567182179436	3.22295182044197	203.666101703292	3.310105252673e-46	4.8346954355036e-45
LOC109496744	6.0101992720972	0.891229019210547	22.9976900044992	1.62196172915974e-06	3.41516386815017e-06
SLC24A1	6.01603765133047	1.15121776342034	54.898466154825	1.26920020780819e-13	4.80739370368994e-13
CCDC158	6.01896137749709	2.83109343651882	59.3478740063112	1.32122846517307e-14	5.36949135234197e-14
LOC109493244	6.02358060495952	-0.281239691238681	31.3036770454881	2.20661314339251e-08	5.51566751999367e-08
LOC102902362	6.02649746819442	2.67598434835455	73.9576740345857	7.98100847674673e-18	3.94593143273221e-17
LOC109491756	6.03234385804534	-0.321039512424409	41.9737733911043	9.25058473425327e-11	2.81259430910754e-10
CAMK4	6.03527357806971	4.82441986494448	101.714225309408	6.41381241565542e-24	4.36769661724227e-23
COL4A4	6.03639418551013	3.46946655928814	35.6695130235518	2.33794300675957e-09	6.3369827883507e-09
LOC109503440	6.03804866982503	0.795979295602405	67.1442137451482	2.52354884713987e-16	1.1385263555825e-15
MOGAT1	6.03820705413699	2.38830933603266	154.480580585859	1.81846123006192e-35	1.91521346338643e-34
MAK	6.05195862332693	5.03378135488953	278.79774152791	1.37274878033791e-62	3.00065182643135e-61
IL12RB1	6.05896726327884	2.47838817857177	98.8130576124383	2.77498706980527e-23	1.82724871724574e-22
LOC109494587	6.05948168898538	0.392129341947526	66.0368339470929	4.42574354217907e-16	1.96775176742811e-15
ARNTL2	6.06341334678199	2.08455986456224	96.3995379144125	9.38890639043008e-23	6.01819080174993e-22
PADI4	6.06402597744429	-0.355752893165278	31.8073863584757	1.70244082835533e-08	4.29450603131901e-08
